Y X1 X2 X3 X4
3 0.6 0.14 0.61 0.54
3 0.68 -0.54 0.63 0.68
1 0.73 1.22 -0.35 -0.26
1 1.18 0.51 -0.67 -0.74
1 0.17 1.32 2.08 1.85
2 -0.81 -0.5 0 -0.18
2 -2.73 -2.23 0 -0.03
2 -0.44 -0.61 -1.17 -1.07
1 0.71 1.69 -1.28 -1.4
1 0.59 -0.95 -1.58 -1.46
2 -0.21 -0.97 -0.38 -0.46
2 -2 -1.76 1.38 1.33
2 -1.07 -0.05 1.69 1.81
2 -1.1 -0.39 1.49 1.64
2 -0.6 -0.52 1.26 1.32
3 -0.89 1.05 -0.25 -0.22
3 -0.44 0.01 -1.12 -1.32
1 1.6 0.73 -0.32 -0.34
2 -0.99 -1.89 -2.42 -2.39
2 -1.46 -1.29 -0.37 -0.25
2 -0.91 -1.12 1.73 1.58
3 -0.38 0.33 0.14 0.12
1 1.72 2.29 1.05 1.14
3 1.1 1.43 0.51 0.47
3 -0.06 -0.64 -0.84 -0.71
2 -0.47 -0.97 1.71 1.77
1 0.99 1.34 -0.1 -0.05
1 0.69 -0.13 -1.03 -0.92
2 -1.43 0.66 0.03 0.11
3 -0.16 0.09 -1.44 -1.59
1 1.61 0.58 0.87 0.86
3 0.51 -0.7 0.36 0.64
3 0.52 -0.15 -0.4 -0.3
1 0.77 0.66 -0.46 -0.51
2 -0.42 -0.58 0.97 0.9
2 -2.06 -1.67 -1.17 -0.95
1 -0.47 0.43 -0.98 -0.98
3 0.89 1.36 0.38 0.47
3 -0.22 -0.1 -0.48 -0.43
3 0.06 1.17 0.86 0.98
2 -0.6 -0.41 -0.15 -0.24
2 -0.06 -1.63 1.14 1.24
3 0.01 0.8 0.47 0.52
3 -0.86 0.15 -2.23 -2.25
1 0.54 1.02 -1.18 -1.48
3 1.28 0.48 1.27 1.29
3 -0.7 -0.06 0.59 0.79
1 0.65 -0.47 -0.92 -1.01
1 0.36 1.34 -1.28 -1.4
3 1.22 1.47 1.1 0.96
3 -0.6 -0.13 -0.86 -0.76
2 -0.66 -0.23 1.75 1.84
2 -0.51 -0.07 1.71 1.83
3 -0.07 2.31 -1.55 -1.35
2 -1.2 -0.19 -0.81 -0.87
3 -0.34 -0.86 -1.23 -1.26
3 0.38 -0.85 0.62 0.71
2 -1.57 -0.82 -1.19 -1.38
3 -0.56 -0.22 -2.05 -2.01
2 -1 0.26 1.95 2.09
3 -0.2 0.31 0.91 1.09
3 0.77 0.49 0.74 0.89
1 1.14 1.75 -0.64 -0.68
1 0.85 0.65 -0.1 0.07
2 -1.22 -1.13 0.72 0.52
1 0.76 2.02 -1.25 -1.31
3 0.36 1.13 -0.05 -0.2
3 -0.63 0.75 0.26 0.09
3 0.81 1.67 1.61 1.77
3 1.11 -0.11 0.61 0.68
3 -0.44 0.16 1.25 1.31
2 -0.79 -0.28 0.12 0.16
1 0.44 1.19 -1.06 -1.15
2 -1.75 -2.33 -0.27 -0.41
1 0.12 -0.41 -1.62 -1.7
2 -0.54 -1.54 0.94 0.92
2 -1.48 -2.25 1.41 1.42
3 0.02 0.39 -0.15 0.02
1 0.1 -0.34 -0.99 -0.97
2 -1.7 -2.03 1.27 0.9
2 0.35 -0.87 0.31 -0.03
1 0.48 0.29 -0.35 -0.42
3 0.72 0.47 1.25 0.99
1 0.06 0.48 -0.73 -0.79
3 0.71 0.62 1.18 1.11
3 0.55 -0.19 -0.93 -0.76
3 0.92 -0.24 0.43 0.35
3 0.2 -0.41 0.92 0.86
2 -0.75 -1.16 -1.32 -1.35
3 0.45 0.01 0.29 0.5
1 0.91 0.79 -0.09 -0.14
1 1.94 2.25 0.59 0.75
3 -0.38 -0.44 -0.82 -0.75
2 -0.45 0.48 -0.12 -0.05
2 -2.11 -1.82 1.44 1.31
2 -0.48 -0.98 0.29 0.05
3 1.43 0.95 0.87 0.77
2 -0.41 -0.06 -0.25 -0.19
1 0.59 0.46 -1.04 -1.01
1 0.42 0.81 0.05 -0.07
2 -1.31 -0.44 -1.24 -1.21
1 -0.16 0.19 -2.62 -2.56
3 -0.6 1.03 1.09 1.25
3 -0.57 -0.01 -1.19 -0.98
1 0.09 0.29 -1.77 -1.87
2 -0.84 -0.37 1 0.99
2 -1.02 -1.1 -0.01 -0.02
3 0.18 0.8 -0.61 -0.59
1 1.8 0.77 -0.13 -0.23
3 0.18 0.16 -0.37 -0.48
3 -0.38 0.26 0.91 1.08
3 -0.61 0.06 0.72 0.73
1 0.82 1.79 -1.77 -1.67
3 0.61 1.42 0.39 0.32
1 1.61 0.97 0.81 0.64
1 0.25 0.9 0.76 0.58
1 -0.59 1.09 -2.51 -2.32
1 0.76 0.16 -0.24 -0.23
3 0.47 0.01 1.9 2.05
2 -0.64 -1.57 0.87 0.72
1 1.84 2.13 -1.68 -1.73
2 -0.78 -1.33 -1.7 -1.62
1 0.91 0.85 0.59 0.39
2 -2.02 -0.26 -0.26 -0.08
2 -0.42 -1.23 1.02 0.89
2 -1 -0.31 0.24 0.34
2 -0.18 -2.03 0.2 -0.04
1 0.42 -0.55 0.25 0.12
2 -0.28 -1.28 0.09 0.24
1 0.91 -0.63 -1.27 -1.27
3 1.94 1.78 2.39 2.29
1 0.51 0.85 -1.38 -1.43
2 -2.2 -0.92 0.05 -0.08
1 0.67 0.21 -0.6 -0.48
3 -0.21 0.34 1.82 1.77
3 2.32 1.26 1.01 1.01
1 0.49 0.44 -0.59 -0.53
3 -0.34 -0.14 0.36 0.05
2 -0.77 -1.55 1.1 1.22
3 -0.21 0.3 2.24 2.22
1 2.12 0.08 0.29 0.31
2 -0.94 -0.71 -1.01 -1.07
2 -0.67 -0.74 -1.11 -0.86
1 0.64 1.17 2.05 1.95
1 0.97 0.72 -2.1 -2.03
3 0.09 -0.62 3.06 3.04
2 -1.04 0.14 -0.2 -0.32
3 -0.26 -0.24 -0.47 -0.43
1 1.25 0.79 0.1 0.21
3 -0.34 0.45 1.02 0.84
3 0.67 -0.19 0.24 0.36
1 1.4 1.6 -1.9 -2.01
1 1.2 0.4 0.32 0.38
1 1.31 0.93 0.54 0.36
1 1.07 2.1 0.62 0.69
1 0.14 -0.72 -1.02 -1.04
1 -0.23 0.04 -2.42 -2.31
1 0.82 -0.51 -0.43 -0.22
1 0.11 0.73 -0.88 -1
2 0.09 -1.02 -0.69 -0.83
1 -0.21 0.63 -0.92 -0.99
2 -0.43 -0.87 -0.28 -0.51
1 0.88 -0.23 -0.35 -0.27
2 -1.03 -0.72 0.8 0.79
3 -0.2 -0.23 0.85 1.12
1 0.88 1.68 -0.87 -0.72
2 0.08 -0.72 -0.45 -0.17
2 -0.33 -0.95 0.36 0.36
3 0.28 0.8 1.51 1.28
2 -2.67 -2.85 -0.07 -0.04
1 0.82 -0.63 -1.7 -1.69
2 0.17 0.21 0.23 0.23
1 1.78 2.54 -0.17 -0.07
2 -0.15 -0.88 1.79 1.75
2 -0.66 -0.81 0.44 0.24
1 1.71 2.5 -0.59 -0.65
1 0.34 0.33 -0.33 -0.55
3 -0.59 0.58 -0.63 -0.38
3 0.21 0.73 0.2 0.17
2 -0.7 -0.12 0.18 0.17
2 -1.13 -1.1 1.03 0.8
3 -0.44 1.86 0.38 0.26
1 0.35 -0.19 -0.34 -0.39
1 0.19 -0.37 -0.99 -0.89
2 -1.65 -0.77 0.71 0.56
2 -0.76 -0.71 -0.05 -0.08
3 0.34 0.54 0.14 0.22
2 -1.36 -0.39 1.02 1.18
3 0.42 0.5 1.76 1.74
1 1.79 0.5 -0.99 -0.91
2 0.38 1.37 1.46 1.82
2 -0.94 -1.51 -0.89 -0.84
1 0.31 -0.07 0.27 0.26
3 -0.76 0.78 0.23 0.21
1 0.29 1.38 -0.38 -0.18
2 0.71 0 1.29 1.49
2 -1.5 -0.92 -0.71 -0.61
3 -0.79 0.17 0.69 0.63
1 1.66 0.41 -0.03 0
1 0.71 1.01 -0.93 -0.93
3 1.79 1.59 1.21 1.22
3 -0.98 -0.83 -2.08 -2.09
2 -0.21 -1.03 -0.51 -0.54
1 -0.24 -0.45 -1.51 -1.56
1 0.96 0.88 0.26 0.13
3 0.42 -0.23 0.11 0.42
1 1.7 1.03 -1.17 -1.06
1 0.64 0.39 0.64 0.65
1 0.55 -0.29 -0.94 -1.12
1 1.92 1.45 0.65 0.66
1 0.67 0.29 0.18 0.3
3 0.46 0.82 0.72 0.71
1 0.38 -0.33 -0.88 -0.99
2 -0.31 0.01 0.2 -0.01
2 -0.98 -0.34 -0.45 -0.47
2 -1.16 -1.2 -1.36 -1.57
2 -0.2 -0.22 0.12 0.19
3 -0.32 0.37 1.77 1.77
1 1.43 1.94 -0.68 -0.61
1 0.87 1.3 -0.22 -0.17
3 -0.74 0.08 0.79 0.59
1 0.82 0.9 -0.09 0.16
2 -1.56 -0.45 1.97 1.91
1 -0.42 0.65 0.79 0.69
2 -0.15 1.02 2.26 2.37
2 -1.56 -1.57 0.34 0.36
1 1.14 1.06 -1.11 -1.15
2 -0.68 -0.59 0.36 0.48
2 -1.82 -1.51 -0.98 -0.86
2 -0.24 -2.05 -0.92 -1.09
2 -2.2 -1.44 -0.24 -0.14
2 -0.03 -0.73 0.9 0.96
3 0.73 0.8 0.29 0.4
3 -0.64 -0.4 0.77 0.86
2 -1.67 -0.59 0.95 0.87
3 -0.37 -0.25 -0.18 -0.16
1 0.25 -0.24 -2.31 -2.48
3 -0.32 0.77 0.75 0.83
3 0.07 0.76 1.96 2.37
2 -0.18 -0.27 -0.03 0.14
1 0.29 -0.43 -1.26 -1.44
1 0.77 1.3 -0.3 -0.44
1 1.41 1.51 -0.83 -1.03
2 -0.71 -0.81 -0.06 -0.02
3 0.37 0.53 0.78 0.57
3 0.35 -0.32 0.79 0.94
1 1.82 0.61 0.31 0.16
1 0.94 0.77 -0.98 -0.89
1 1.15 0.83 0.79 0.83
3 -0.38 -0.18 1.37 1.32
1 1.31 0.62 2.15 2.34
1 0.87 0.44 -0.44 -0.55
2 -1.1 -1.24 0.49 0.46
2 -0.3 -1.42 1.19 1.19
1 1.41 1.12 -0.06 -0.17
3 -0.58 -0.27 0.5 0.54
1 1.03 1.4 0.35 0.08
2 0.54 0.67 -0.06 -0.21
2 -1.06 -0.91 -0.01 0.34
3 -0.43 -0.57 0.95 0.97
2 -0.88 -1.52 0.36 0.45
1 0.33 0.02 -0.45 -0.48
2 -2.98 -3.55 -2.27 -2.2
1 1.01 1.22 -0.72 -0.87
3 0.24 0.29 -0.02 -0.02
1 1.08 0.42 -2.4 -2.62
3 -0.67 0.26 2.22 2.19
1 1.73 0.91 -1.46 -1.51
1 1.09 -0.74 -1.13 -1.18
2 -1.06 -0.75 1.52 1.38
1 0.31 -0.46 -2.16 -2.21
1 1.2 0.46 0.72 0.76
2 -1.29 -1.37 -0.31 -0.38
3 -0.32 0.19 0.42 0.49
2 -1.26 -0.21 1.01 0.74
2 -1.25 -1.6 -1.01 -0.9
1 1.94 1.93 -0.71 -0.69
1 -0.24 0.55 -3.13 -2.85
1 -0.15 1.1 -1 -0.92
3 -0.22 0.45 0.39 0.37
2 -1.12 -1.79 0.43 0.58
3 -0.32 0.46 1.96 2.08
1 1.19 1.3 0.07 0.06
1 1.49 1.05 0.48 0.45
2 -1.41 0.45 0.13 0.02
1 1.51 1.29 -0.51 -0.46
1 1.4 1.37 0.77 0.73
3 0.03 1.47 0.42 0.5
1 1.23 1.84 0.07 0.18
1 0.74 1.13 -0.67 -0.95
3 0.22 0.75 -0.09 0.01
2 -2.01 -1.58 0.74 0.82
3 0.59 0.67 0.77 0.58
1 0.39 -0.25 -0.51 -0.46
2 -0.82 -0.72 -0.68 -0.65
3 -0.37 0.09 0.47 0.56
2 -0.66 -1.18 1.04 1.06
1 1.51 0.73 0.11 0.13
3 -0.21 -0.1 -0.34 -0.28
2 -0.9 -1.56 -0.99 -0.77
3 0.12 0.14 -0.34 -0.5
2 -1.29 -1.09 -1.56 -1.39
2 -1.58 -0.87 -0.82 -0.57
